Basho,Oguruma,Kagamiyama,Azumazeki,Minezaki,Nakagawa,Izutsu,Takanohana,Kasugayama,Asahiyama,Mihogaseki,Magaki,Hanaregoma,Nishonoseki,Nakamura,Hanakago,Oshima,Tagonoura,Takashima,Kiriyama,Araiso,Isegahama,Hatachiyama,Oshiogawa,Takekuma,Kabutoyama,Wakamatsu,Tatsutagawa,Kise,Kumagatani,Onaruto,Kasugayama,Oyama,Hanakago,Takashima,Magaki,Nakagawa,Tanigawa,Minatogawa,Onogawa,Oitekaze
1951.01,,,,,,,,,9-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,41-14-S Tamanoumi--60-,,,,,,,,23-8-S Kiyosegawa--24-,,,,,6-1-K Izumigawa--102-,,,,,,1-1-O Matsunobori--71-,,,,,,,3-1-M2 Kinkazan--65-,3-1-O Shimizugawa--62-
1951.05,,,,,,,,,9-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,41-14-S Tamanoumi--60-,,,,,,,,27-9-S Kiyosegawa--24-,,,,,7-1-K Izumigawa--102-,,,,,,2-1-O Matsunobori--71-,,,,,,,3-1-M2 Kinkazan--65-,4-1-O Shimizugawa--62-
1951.09,,,,,,,,,9-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,43-12-O Saganohana-HT-60-,,,,,,,,27-8-S Kiyosegawa--24-,,,,,7-1-K Izumigawa--102-,,,,,,2-1-O Matsunobori--71-,,,,,,,3-1-M2 Kinkazan--65-,4-1-O Shimizugawa--62-
1952.01,,,,,,,,,9-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,45-11-O Saganohana--60-,,,,,,,,27-9-S Kiyosegawa--24-,,,,,8-2-K Izumigawa--102-,,,,,,2-1-O Matsunobori--71-,,,,,,,3-1-M2 Kinkazan--65-,3-1-O Shimizugawa--62-
1952.05,,,,,,,,,9-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,42-9-O Saganohana--60-,,,,,,,,27-9-S Kiyosegawa--24-,,,,,9-1-K Izumigawa--102-,,,,,,2-1-O Matsunobori--71-,,,,,,,3-1-M2 Kinkazan--65-,3-1-O Shimizugawa--62-
1952.09,,,,,,,,,9-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,33-6-O Saganohana--60-,,,,,,,,27-9-S Kiyosegawa--24-,,,,,9-1-K Izumigawa--102-,,,,,,2-1-O Matsunobori--71-,7-3-M3 Onoumi-HB-77-Shibatayama,,,,,,3-1-M2 Kinkazan--65-,4-1-O Shimizugawa--62-
1953.01,,,,,,,,,9-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,32-6-O Saganohana--60-,,,,,,,,28-10-S Kiyosegawa--24-,,,,,9-3-K Izumigawa--102-,,,,,,2-1-O Matsunobori--71-,7-2-M3 Onoumi--77-Shibatayama,,,,,,3-2-M2 Kinkazan--65-,4-1-O Shimizugawa--62-
1953.03,,,,,,,,,10-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,31-6-O Saganohana--60-,,,,,,,,24-9-Y Terukuni-HT-2-Araiso,,,,,9-2-K Izumigawa--102-,,,,,,3-1-O Matsunobori--71-,9-2-M3 Onoumi--77-Shibatayama,,,,,,3-2-M2 Kinkazan--65-,4-1-O Shimizugawa--62-
1953.05,,,,,,,,,10-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,31-6-O Saganohana--60-,,,,,,,,24-9-Y Terukuni--2-Araiso,,,,,9-2-K Izumigawa--102-,,,,,,3-1-O Matsunobori--71-,11-2-M3 Onoumi--17-,,,,,,3-2-M2 Kinkazan--65-,5-1-O Shimizugawa--62-
1953.09,,,,,,,,,9-1-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,31-6-O Saganohana--60-,,,,,,,,26-9-Y Terukuni--2-Araiso,,,,,10-2-K Izumigawa--102-,,,,,,3-1-O Matsunobori--71-,12-3-M3 Onoumi--17-,,,,,,3-2-M2 Kinkazan--65-,5-1-O Shimizugawa--62-
1954.01,,,,,,,,,9-1-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,33-7-O Saganohana--60-,,,,,,,,27-9-Y Terukuni--2-Araiso,,,,,7-2-M3 Shachinosato-HT-57-Nishiiwa,,,,,,3-1-O Matsunobori--71-,13-3-M3 Onoumi--17-,,,,,,3-2-M2 Kinkazan--65-,5-1-O Shimizugawa--62-
1954.03,,,,,,,,,9-1-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,32-8-O Saganohana--60-,,,,,,,,27-9-Y Terukuni--2-Araiso,,,,,7-2-M3 Shachinosato--57-Nishiiwa,,,,,,3-1-O Matsunobori--71-,15-3-M3 Onoumi--17-,,,,,,3-2-M2 Kinkazan--65-,5-1-O Shimizugawa--62-
1954.05,,,,,,,,,9-1-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,31-8-O Saganohana--60-,,,,,,,,28-8-Y Terukuni--2-Araiso,,,,,7-2-M3 Shachinosato--57-Nishiiwa,,,,,,3-1-O Matsunobori--71-,17-3-M3 Onoumi--17-,,,,,,3-2-M2 Kinkazan--65-,5-1-O Shimizugawa--62-
1954.09,,,,,,,,,9-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,30-9-O Saganohana--60-,,,,,,,,29-9-Y Terukuni--2-Araiso,,,,,7-2-M3 Shachinosato--57-Nishiiwa,,,,,,3-1-O Matsunobori--71-,18-2-M3 Onoumi--17-,,,,,,3-2-M2 Kinkazan--65-,6-1-O Shimizugawa--62-
1955.01,,,,,,,,,9-2-S Futasegawa--4-,4-1-O Masuiyama I--47-,,,34-8-O Saganohana--60-,,,,,,,,29-8-Y Terukuni--2-Araiso,,,,,7-2-M3 Shachinosato--57-Nishiiwa,,,,,,3-1-O Matsunobori--71-,20-2-M3 Onoumi--17-,,,,,,3-3-M2 Kinkazan--65-,6-2-O Shimizugawa--62-
1955.03,,,,,,,,,9-2-S Futasegawa--4-,5-1-O Masuiyama I--47-,,,34-8-O Saganohana--60-,,,,,,,,30-8-Y Terukuni--2-Araiso,,,,,6-1-M3 Shachinosato--57-Nishiiwa,,,,,,5-1-O Matsunobori--71-,21-2-M3 Onoumi--17-,,,,,,3-3-M2 Kinkazan--65-,6-2-O Shimizugawa--62-
1955.05,,,,,,,,,10-2-S Futasegawa--4-,5-1-O Masuiyama I--47-,,,36-7-O Saganohana--60-,,,,,,,,27-7-Y Terukuni--2-Araiso,,,,,6-2-M3 Shachinosato--57-Nishiiwa,,,,,3-1-O Nayoroiwa-HB-32-,5-1-O Matsunobori--71-,20-4-M3 Onoumi--17-,,,,,,3-3-M2 Kinkazan--65-,7-2-O Shimizugawa--62-
1955.09,,,,,,,,,10-3-S Futasegawa--4-,5-1-O Masuiyama I--47-,,,32-6-O Saganohana--60-,,,,,,,,27-7-Y Terukuni--2-Araiso,,,,,6-2-M3 Shachinosato--57-Nishiiwa,,,,,3-1-O Nayoroiwa--32-,5-1-O Matsunobori--71-,20-3-M3 Onoumi--17-,,,,,,3-3-M2 Kinkazan--65-,8-2-O Shimizugawa--62-
